Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
0c920ac4-2a01-a27d-3d46-1ae563ad206b,1980-03-16,,999-38-6496,S99962627,X82782449X,Mrs.,Helene803,,Effertz744,,Von197,M,white,nonhispanic,F,East Fishkill  New York  US,122 Johnson Light Apt 10,Ridge,New York,Suffolk County,36103,11961,40.920428646549055,-72.84871998791306,451910.22,762149.34,58975
447f115a-2769-8c9c-1e70-39ecd0eea8d9,1998-04-07,,999-57-7601,S99910950,X74118795X,Mr.,Abraham100,Myron933,Franecki195,,,,white,nonhispanic,M,West Hempstead  New York  US,700 Friesen Neck,New York,New York,New York County,36005,10453,40.57674473595381,-73.98483552948736,65196.23,28655.61,106799
aeefb9d7-3675-e67b-c40b-003728d433b5,1962-08-29,,999-91-6006,S99910177,X5356971X,Mrs.,Carletta836,Marissa322,Rau926,,Welch179,D,black,nonhispanic,F,Dryden  New York  US,102 Mayer Club Unit 0,West Seneca,New York,Erie County,36029,14220,42.91165066367947,-78.84570836285143,1419165.95,320250.36,106465
7f10d43d-41a2-8166-5720-aff26c149cc9,1985-02-01,,999-93-2686,S99926067,X48176190X,Mrs.,Agustina460,Athena83,Hyatt152,,Strosin214,D,white,nonhispanic,F,Hornby  New York  US,259 Cormier Rest Suite 41,New York,New York,Kings County,36081,11355,40.56100498320807,-74.04632422031824,296298.86,604985.08,145044
15431666-28c1-817a-683c-c367514d17bd,1937-07-06,,999-88-8030,S99971198,X19629706X,Mr.,Sydney660,Noel608,Beatty507,,,S,white,nonhispanic,M,North Patchogue  New York  US,819 Langworth Neck,Buffalo,New York,Erie County,36029,14225,42.857617811010826,-78.82491334196769,20269.43,653311.66,23321
c4a38dd2-8a13-ccb6-ac98-5783521a44ac,1982-08-03,,999-84-4701,S99928571,X60588056X,Mr.,Jasper743,Virgil85,Glover433,,,M,white,nonhispanic,M,Rochester  New York  US,486 Waelchi Hollow,Albany,New York,Albany County,36001,12207,42.59914190208225,-73.80678258813471,145852.11,34171.25,39748
55b9050b-3331-3706-a4b1-09b0d449aa82,1948-06-26,,999-34-9809,S99948631,X63227883X,Mr.,Nelson403,Mose244,Stiedemann542,,,S,white,nonhispanic,M,New York  New York  US,303 Ratke Bypass,Syracuse,New York,Onondaga County,36067,13224,43.08455073174378,-76.11778729205028,38447.59,1549794.77,18683
4a9e1918-65ff-8608-540f-11da16699ccc,1976-04-21,,999-90-9037,S99976570,X79675058X,Mr.,Jake169,Mary779,Schoen8,,,S,white,hispanic,M,New York  New York  US,776 Durgan Junction,New York,New York,Bronx County,36081,11105,40.60089533604369,-74.02886556362922,8302.93,159050.72,7459
befe0779-fa72-ba23-c93a-7e78ff4c0c1a,1967-10-06,,999-22-4987,S99989679,X75544821X,Mrs.,Regina408,,Shanahan202,,Grady603,M,black,nonhispanic,F,Pendleton  New York  US,136 Lemke Ramp Suite 21,New York,New York,Kings County,36081,11369,40.75961125584215,-73.92928223033529,1049084.70,409821.06,95411
d5d42b99-0256-5ee0-e4b8-3b6237a806d5,1997-04-25,,999-45-5275,S99946500,X50382705X,Mr.,Jon665,,Ledner144,,,M,white,nonhispanic,M,East Ithaca  New York  US,959 Fisher Crossroad,Kirkwood,New York,Broome County,,00000,42.0954860199392,-75.77438457927667,112093.45,0.00,58364
e95b491e-b64b-46cb-b3fb-8ea02ed76814,2002-03-25,,999-89-4104,S99989515,X88240201X,Ms.,Charmaine338,Brittaney358,Schultz619,,,,black,nonhispanic,F,New York  New York  US,417 Jones Lock,New York,New York,Queens County,36047,11226,40.720791666662045,-73.97440130409902,5377.76,150467.04,11517
84ffa272-1858-9985-581f-80e82f3cd2b0,1994-06-20,,999-73-8678,S99912191,X26603086X,Mr.,Bert917,Chuck784,Crist667,,,S,white,nonhispanic,M,Port Jervis  New York  US,184 Zulauf Avenue,New York,New York,Richmond County,36081,11102,40.79632023243774,-73.9945509577546,93755.98,6492.11,71395
30403e30-1d31-6e14-79b9-d7d4e20e0e99,1951-02-23,,999-78-8032,S99924279,X14923602X,Mr.,Aldo414,Forrest301,Kertzmann286,,,M,white,nonhispanic,M,East Meadow  New York  US,448 Walsh Bypass,Clayton,New York,Jefferson County,36045,13624,44.22644715275185,-76.1290554106213,23362.97,1001957.58,18941
7753b010-5d25-8d6b-9fd6-78e47ef62395,1957-03-17,,999-60-7826,S99958812,X86537100X,Mr.,Rudy520,Marcellus830,Price929,,,W,asian,nonhispanic,M,New York  New York  US,762 Hermann Wynd,New York,New York,Kings County,36085,10305,40.71090194774769,-74.01109332648886,524078.70,48571.55,44262
78cee0f1-71d1-d615-c6c0-cfd9fdc8b041,2001-07-02,,999-38-7164,S99971773,X10062765X,Ms.,Hanh683,Shela13,Connelly992,,,,white,nonhispanic,F,New York  New York  US,926 Heathcote Camp,Gorham,New York,Ontario County,36069,14461,42.813763520942686,-77.16652584821,74896.05,281792.99,195102
552ea1bd-2f0d-81e3-dce6-b471e8e25cb7,1938-03-28,,999-19-6861,S99917626,X89250477X,Mr.,Jesse626,Cory323,Donnelly343,,,M,hawaiian,hispanic,M,Yonkers  New York  US,679 Hoppe Way,New York,New York,Kings County,36061,10001,40.81910506674693,-73.83955940700085,15703.36,601629.18,6385
ec8632d5-6d09-3e08-be32-fa422992a5d0,1970-05-07,,999-77-3990,S99994017,X60063411X,Mrs.,Inés791,Rosa195,Guerrero997,,Anguiano812,M,other,hispanic,F,Port-au-Prince  Haiti  HT,762 Hudson Trailer,East Meadow,New York,Nassau County,36059,11554,40.707868885224094,-73.57940109552129,855477.76,254554.13,111994
57c8dfb2-05e4-3ade-6ced-d7349d13dbbf,1989-09-27,,999-47-5324,S99985824,X39986537X,Mrs.,Luz785,Dolores502,Feliciano160,,Cisneros174,D,white,hispanic,F,Santo Domingo  National District  DO,212 Schamberger Arcade Apt 69,New York,New York,Bronx County,36081,11362,40.698932573820535,-73.84028256900848,215482.63,1031254.99,53701
88b3c6b9-f629-d0bf-6b0d-eff8c0d98347,1947-08-15,,999-46-8769,S99994054,X60263088X,Mrs.,Ouida808,,Mraz590,,Kuvalis369,D,white,nonhispanic,F,Chili  New York  US,401 Langworth Haven,Irondequoit,New York,Monroe County,36055,14621,43.15941618376773,-77.53281225448372,1019781.17,585995.50,74686
89153a23-28c4-2e1f-bebe-9d4e29159f36,1966-01-15,,999-31-6435,S99998642,X57076427X,Mr.,Warner493,Raymond398,King743,,,D,white,nonhispanic,M,North Bellmore  New York  US,799 Stoltenberg Haven Unit 19,Elmont,New York,Nassau County,36059,11003,40.66205555651968,-73.70056999841981,218554.94,51181.65,130009
5a8d05c3-7aa3-d400-01a2-ffcf80d8654f,1937-06-11,,999-58-5468,S99966053,X33972557X,Ms.,Lavona767,Jeana169,Marvin195,,,S,white,nonhispanic,F,Valley Stream  New York  US,336 Yost Alley Apt 36,Medford,New York,Suffolk County,36103,11763,40.79019946744309,-73.02109770833934,1505619.88,2290896.08,49837
a637d074-b810-c9f6-a5fd-0fcf3d151e6f,1998-11-29,,999-41-3283,S99957731,X56860882X,Ms.,Meta661,,Weimann465,,,,white,nonhispanic,F,New Rochelle  New York  US,977 Kiehn Byway Apt 20,New York,New York,Queens County,36047,11233,40.70211051104217,-73.91000656867716,343509.39,63512.26,117609
67919e46-ce9c-9937-4b44-98bf715d1053,1950-04-30,,999-22-5831,S99939276,X80187771X,Mr.,Kelvin159,Scott935,Stoltenberg489,,,M,white,nonhispanic,M,New York  New York  US,989 West Avenue,Greenport,New York,Columbia County,36103,11944,41.13164157488421,-72.38607659940567,228391.76,223112.53,59988
e5edd488-8d84-feba-f504-a8b2126a8378,1975-06-04,,999-82-7884,S99912171,X21279817X,Mrs.,Agnes294,Sau887,Nitzsche158,,McDermott739,M,white,nonhispanic,F,Rochester  New York  US,656 Wunsch Brook,New York,New York,New York County,36081,11378,40.798197844679954,-73.92554078659056,883496.90,453816.79,54339
6105cfd9-2c00-ca8a-4188-c3e81859095f,1982-04-17,,999-37-2568,S99984269,X45781333X,Mr.,Ezequiel972,Lamar193,Rice937,,,M,white,nonhispanic,M,New York  New York  US,282 Gleichner Heights,Albany,New York,Albany County,36001,12202,42.725203648479294,-73.76319558377162,95360.77,1153446.14,29762
5aa619bc-3779-2b1a-1736-e98f725a7284,1934-03-23,,999-11-5571,S99955855,X61150217X,Ms.,Jeanene972,Dakota806,Graham902,,,S,white,hispanic,F,New York  New York  US,375 Moen Terrace,New York,New York,Queens County,36081,11422,40.548249667908046,-74.10280508855531,281658.59,840051.44,174687
b5bd0b1a-aa42-87a3-8414-6725f8a520ba,1957-07-21,,999-21-9227,S99938183,X27106276X,Mrs.,Kassie598,Stella203,Renner328,,Davis923,D,black,nonhispanic,F,North Amityville  New York  US,343 Keebler Brook,Brentwood,New York,Suffolk County,36103,11717,40.789385392763606,-73.28091965980293,309323.17,1133499.27,134802
1e3bb894-9ffc-afa8-b7a6-ff7eae154dc7,1930-01-30,,999-94-4651,S99998918,X74672402X,Mr.,Jerry654,Eusebio566,Kohler843,,,M,white,nonhispanic,M,Granby  New York  US,158 Goyette Crossroad Apt 59,New York,New York,New York County,36047,11231,40.79881556869877,-73.99935994184756,438627.64,217623.83,41436
a196861e-9a7b-a653-26d6-95343e9f87f4,2006-08-12,,999-84-2721,S99923299,,Mr.,Vance413,Alonzo487,Erdman779,,,,black,nonhispanic,M,New York  New York  US,483 Johnson Landing Unit 33,Bethlehem,New York,Albany County,,00000,42.55342292406985,-73.84538488622336,3554.40,118608.54,17910
bfa7eda5-1562-15e6-585a-cfa936ca2147,1957-01-17,,999-59-9727,S99939845,X83862998X,Mr.,Mohammed454,Alfonzo975,Walker122,,,M,black,nonhispanic,M,New York  New York  US,251 Boehm Harbor Apt 74,Florence,New York,Oneida County,,00000,43.44118599835758,-75.69481048296237,17469.51,1436588.75,22613
ead2e08e-47c2-89a2-06d4-321a776c4d86,1961-02-16,,999-41-4352,S99936697,X77474456X,Mrs.,Shirlene698,Zaida719,Tillman293,,Kulas532,D,white,nonhispanic,F,New York  New York  US,297 Lang Arcade Unit 55,Fine,New York,St. Lawrence County,,00000,44.137521989188556,-75.11779046147349,18524.31,1480134.68,13610
a8f74921-6700-47ab-2847-fdab282640f0,1976-01-18,,999-11-2844,S99962752,X57689264X,Ms.,Mike230,,Kuphal363,,,S,white,nonhispanic,F,Mount Vernon  New York  US,1048 MacGyver Walk Suite 4,Yonkers,New York,Westchester County,36119,10708,40.9281229326125,-73.8736787093565,232403.83,2145781.75,6229
02c30203-b2e6-2847-01f1-38fa1e55ec44,1974-04-12,,999-73-4569,S99986688,X15568364X,Mrs.,Lonna614,,Watsica258,,Lebsack687,M,asian,nonhispanic,F,Volney  New York  US,164 Feeney Dale Unit 25,New York,New York,Kings County,36085,10310,40.78541789683989,-73.89514814472851,10294.74,360585.45,24057
f36973aa-709e-0e4b-58e4-7e895adccd21,2002-08-26,,999-15-6787,S99971024,X7802848X,Mr.,Lyle846,Anthony633,Armstrong51,,,,white,nonhispanic,M,Bethlehem  New York  US,679 Johnston Spur Unit 71,West Haverstraw,New York,Rockland County,36087,10923,41.24225988633512,-73.97109081445939,102119.68,14316.77,86757
61181807-0c4a-5b14-b1c5-9dc144bcacd8,1953-08-11,,999-65-5768,S99954269,X16805822X,Mr.,Ollie731,,Turner526,,,M,white,hispanic,M,New York  New York  US,1093 Fahey Hollow Apt 15,Tompkins,New York,Delaware County,,00000,42.077541009088094,-75.28512282477361,354806.29,868964.75,71179
e570724d-f693-5639-7f80-ecc03db65ff9,1946-05-09,,999-50-4214,S99986444,X42994586X,Mr.,Jerold208,,Wisozk929,,,M,black,nonhispanic,M,Otisco  New York  US,814 Nolan Frontage road Suite 79,New York,New York,New York County,36081,11426,40.787687117040214,-74.03434488716755,88264.63,661389.77,99132
74d978d6-d58b-4269-4db9-bb1d71df4951,1950-11-27,,999-19-4952,S99975263,X62381690X,Mrs.,Starla601,Britteny287,Will178,,Krajcik437,W,asian,nonhispanic,F,Deerpark  New York  US,432 Schuster Junction Unit 13,New York,New York,New York County,36005,10470,40.890267521985876,-73.81524494511622,20263.33,1654074.04,17190
40031f36-741a-3c67-151a-d4f9303e528e,1925-11-20,,999-60-8696,S99949822,X27463905X,Mr.,Jacob959,Scotty190,Haag279,,,M,black,nonhispanic,M,Yonkers  New York  US,860 O'Hara Boulevard Apt 34,South Hill,New York,Tompkins County,,00000,42.439386971558115,-76.47735073718869,416653.71,152726.80,84532
7749bfb2-de81-aa4e-e4b5-c04a3ae36534,1953-08-18,,999-99-5533,S99984495,X32727747X,Mrs.,Isaura563,Jannette265,Mann644,,Effertz744,M,white,nonhispanic,F,New York  New York  US,1037 Rohan Row Apt 48,New York,New York,Kings County,36061,10115,40.79117910280268,-73.8606792392248,1017392.98,558306.38,95946
94c57e8f-7c80-22c8-9e59-232bd73a5d26,1956-06-01,,999-38-9252,S99936956,X78561660X,Ms.,Irma773,Juliette736,Yundt842,,,S,white,nonhispanic,F,Centereach  New York  US,982 Zulauf Throughway Apt 15,Gardnertown,New York,Orange County,,00000,41.51961937326781,-74.0723734494809,1318897.33,456769.08,48499
556ba858-14ff-a126-63e3-7913556da944,1991-11-05,,999-59-5138,S99915356,X49151699X,Mr.,Napoleon578,Martin117,Kuphal363,,,M,black,nonhispanic,M,New York  New York  US,159 Kassulke Mill Suite 33,New York,New York,Bronx County,36081,11377,40.54012325694103,-74.19699524417133,69089.92,51674.77,31952
5abd4e76-2e2d-ed33-9592-356778bd78b4,1979-04-15,,999-89-2995,S99957945,X71472463X,Mrs.,Rebekah348,Ione925,Smith67,,VonRueden376,M,white,nonhispanic,F,New York  New York  US,840 Crist Way,Onondaga,New York,Onondaga County,,00000,42.99471467962213,-76.24323236558782,794638.86,843784.30,81895
c4c1dfa0-7f81-be93-5236-5fba789a93b3,1952-03-04,,999-64-7712,S99953971,X35300631X,Mr.,Adrian111,Bo157,Romaguera67,,,M,white,nonhispanic,M,West Seneca  New York  US,757 Willms View,Ithaca,New York,Tompkins County,36109,14850,42.49657566842581,-76.479988028514,16600.33,1007010.52,13652
e6d09163-8d6f-3d75-cdd2-b7e2b9faf165,1953-10-09,,999-24-6801,S99977294,X45949397X,Mr.,Santo387,Adan632,Thiel172,,,M,white,nonhispanic,M,New York  New York  US,589 Jakubowski Way Unit 18,New York,New York,Bronx County,36061,10280,40.68204343547682,-73.96527168031848,216125.72,163898.94,138805
76a7e655-e29f-e9af-569c-fe99f45d0dd5,1948-02-08,,999-55-6049,S99937890,X80899144X,Mrs.,Elise948,Vesta905,Runolfsson901,,Abshire638,W,white,nonhispanic,F,New York  New York  US,875 Harber Road Apt 41,New York,New York,Richmond County,36081,11357,40.872825473228374,-73.92862734303631,1347738.50,978782.64,37378
0d85458d-c590-529f-edef-036af8c2d110,1987-05-18,,999-58-2950,S99977563,X47926592X,Mr.,Jesús825,,Escalante498,PhD,,D,white,hispanic,M,Kingston  Kingston  JM,443 Ledner Pathway,New York,New York,Bronx County,36081,11426,40.854118815127265,-73.85581746480511,114203.52,550.01,81548
4927a8c3-6935-4eb1-d755-d484fe6353bb,1997-04-12,,999-56-9511,S99926546,X79931258X,Mrs.,Johanna547,,Miller503,,Torp761,M,asian,nonhispanic,F,Rochester  New York  US,414 Ryan Course,Bethpage,New York,Nassau County,36059,11714,40.75676956129173,-73.48664375493215,239693.34,1588705.80,188815
2c714173-3d3b-f8e6-2a85-937be1858fc0,2000-06-25,,999-32-8507,S99988447,X48003760X,Mr.,Gonzalo160,Jack927,Stamm704,,,,asian,nonhispanic,M,Russell  New York  US,146 Okuneva Light,Roosevelt,New York,Nassau County,36059,11575,40.63617568915496,-73.59755781233935,135719.52,803173.26,41955
4d9dd02d-a8d6-b435-83c2-13cbdac86f9e,1929-10-22,,999-71-2895,S99979274,X34404413X,Mrs.,Ashlie138,Alysia661,Nitzsche158,,Feest103,M,white,nonhispanic,F,New York  New York  US,829 Ritchie Rest Suite 51,Copiague,New York,Suffolk County,36103,11726,40.68693263311714,-73.40348102728719,1337289.76,933963.12,87637
e716e846-ce77-8b00-d760-24883ef00016,1956-08-26,,999-69-1929,S99917448,X31325686X,Mr.,Beau391,Cesar434,Harvey63,,,M,white,nonhispanic,M,New York  New York  US,283 Witting Arcade,New York,New York,Queens County,36081,11427,40.741502133092126,-73.95956832657654,16266.93,392438.51,22929
f0c38427-8c22-e22e-c292-0371f9957b0b,1966-07-21,,999-23-6746,S99913232,X45496847X,Mrs.,Tonia627,Ossie995,Hintz995,,Sanford861,M,black,nonhispanic,F,Buffalo  New York  US,566 Schuppe Well,South Huntington,New York,Suffolk County,,00000,40.81160998995813,-73.39626752977699,745176.14,427514.28,84184
48ca9b99-039a-3c49-8c42-4fb8be8fe196,1937-06-17,,999-41-8436,S99967400,X39440782X,Mr.,Rex53,Leland44,King743,,,M,white,nonhispanic,M,New York  New York  US,262 Dach Frontage road,New York,New York,Kings County,36081,11361,40.73315259915986,-73.99572719820614,323799.25,256150.64,42981
d09b0633-3d04-a711-946d-89c46ab2678b,1962-01-28,,999-43-9612,S99927318,X79158708X,Mrs.,Ouida808,Lavette209,Lockman863,,Maggio310,M,white,nonhispanic,F,Webster  New York  US,127 Ankunding Gateway Unit 59,Adams,New York,Jefferson County,36045,13605,43.77896981130119,-76.06907887258112,731942.98,68173.15,48167
3e04015f-b087-233e-4564-3111d04b6976,1960-07-01,,999-27-5023,S99960428,X55212550X,Mr.,Marcus77,Theo630,Leannon79,,,M,white,nonhispanic,M,Long Beach  New York  US,954 Greenholt Terrace,Calverton,New York,Suffolk County,36103,11933,40.935772210210004,-72.76802638510928,69658.47,438237.50,516204
27d90dc9-a819-74c3-dfed-fe0f2c2d8041,1973-02-28,,999-45-8522,S99973002,X43838542X,Mr.,Glen190,Antonio44,Hahn503,,,S,white,hispanic,M,New York  New York  US,1011 Klein Brook,Upper Brookville,New York,Nassau County,36059,11771,40.80793885756732,-73.62216921911632,162672.65,134946.84,476251
37029869-47af-ece4-1ec9-c78e76a2ab6a,1985-06-06,,999-90-7722,S99952895,X66608305X,Mrs.,Lilliam592,Sandra485,Waters156,,Sanford861,D,black,nonhispanic,F,Plattsburgh  New York  US,996 O'Connell Harbor,New York,New York,Kings County,36081,11373,40.8387217991346,-73.8813336029903,385486.81,802582.56,109266
1e557b32-2239-dc72-1a82-316d22d17508,1967-05-19,,999-69-3986,S99986592,X37345889X,Mr.,Delbert384,,Feest103,,,M,black,nonhispanic,M,Westbury  New York  US,235 Jacobs Vista,Miller Place,New York,Suffolk County,36103,11764,40.89229159369124,-72.93024681914746,78585.83,242172.81,156011
ccb9011f-9000-caf1-8743-da0075fde0ad,1938-03-29,,999-38-1616,S99964349,X38896207X,Mrs.,Martine382,Tyler508,Terry864,,Wiza601,M,asian,nonhispanic,F,Woodmere  New York  US,287 Mayer Quay,New York,New York,Kings County,36081,11411,40.79088398612859,-73.8572434370622,435024.09,1136719.63,121153
25e20083-13a8-d554-d92f-e69cf81e6923,1986-07-17,,999-89-5496,S99923271,X2421018X,Mr.,Bradford382,Arlie183,Beatty507,,,M,white,nonhispanic,M,Mount Vernon  New York  US,225 Cronin Skyway,New York,New York,Kings County,36081,11420,40.72819094674874,-73.91549276428928,192569.19,0.00,92181
4ffcc1f9-93e3-b472-4632-c6bab8895f3b,1964-07-12,,999-88-9031,S99960126,X39633818X,Mr.,Francis500,,Runte676,,,M,black,nonhispanic,M,Congers  New York  US,357 Rempel Track Suite 90,New Rochelle,New York,Westchester County,36119,10801,40.95649985172631,-73.80639691257159,203042.36,0.00,38586
9a9d35d9-f7c4-9205-05e2-b450062875ac,1939-09-15,,999-99-3454,S99930773,X13482317X,Mr.,Fritz267,,O'Conner199,,,D,asian,nonhispanic,M,Tokyo  Tokyo  JP,282 Osinski Drive Apt 82,New York,New York,Queens County,36081,11374,40.670609377068644,-73.93115396513477,284214.73,801542.87,714872
df2e76e4-063d-5db6-3c1e-9c4996f11c92,1932-08-03,,999-62-8577,S99934161,X23443967X,Mr.,Marcos263,Erick204,Hagenes547,,,M,other,nonhispanic,M,Buffalo  New York  US,577 Strosin Alley,New York,New York,Kings County,36047,11235,40.672663033190396,-73.96229986824896,293008.31,270340.08,106941
80ca3294-65fd-8fa6-779a-0ca77297ba87,2002-11-08,,999-42-9255,S99948790,X24935026X,Ms.,Deanna833,Isabella615,Streich926,,,,white,nonhispanic,F,Lake Carmel  New York  US,939 Kemmer Path Unit 82,Buffalo,New York,Erie County,36029,14222,42.95952446018754,-78.90873092937315,122364.27,891924.95,47452
77d2f17a-a412-dc55-ee5d-e3db94f7fcb1,1948-02-16,,999-85-1037,S99924855,X40599603X,Mr.,Maximo817,Arnold338,Leuschke194,,,M,white,nonhispanic,M,Greenvale  New York  US,447 Halvorson Fork,Carmel,New York,Putnam County,,00000,41.37967651241505,-73.75241897884227,140498.01,399725.88,836086
53a00025-5a4d-cff0-254e-6f8d51d6940d,2005-09-20,,999-25-1278,S99936983,,Mr.,Irving123,Carl856,Parisian75,,,,white,hispanic,M,New York  New York  US,517 Bauch Viaduct Unit 24,New York,New York,Kings County,36081,11373,40.58902090675747,-73.96659095808202,6541.04,198875.04,349
04b1a1b0-d8a4-a173-c41e-215ddcc8c1e7,1998-01-07,,999-27-4547,S99969818,X3581265X,Ms.,Tabitha433,Meagan221,Koepp521,,,,black,nonhispanic,F,Glen Cove  New York  US,933 Goyette Grove Suite 72,New York,New York,Kings County,36047,11239,40.801842877590914,-73.92149083038876,161816.43,265288.85,52041
7dbc14a0-3b11-e493-fb54-10a3a1e84377,2007-05-15,,999-97-6240,S99983493,,Mr.,Garfield38,,Considine820,,,,black,nonhispanic,M,New York  New York  US,1034 Morar Port Unit 91,Manhasset Hills,New York,Nassau County,36059,11040,40.727513449507256,-73.63670853354817,109708.87,852558.60,648967
7c61362d-0764-ae47-d251-72499758f278,1973-03-05,,999-48-2261,S99924445,X33094134X,Mrs.,Faviola526,Marcela739,Torp761,,Conn188,M,white,nonhispanic,F,Bristol  New York  US,550 Spinka Way,Valley Stream,New York,Nassau County,36059,11581,40.68506031996156,-73.75633141900653,26131.89,1743847.43,132888
fb615900-37ea-eac9-5f6d-b36cc339deae,1985-04-08,,999-44-6271,S99948405,X63354508X,Mr.,Fermin479,Danilo179,Dickinson688,,,M,white,nonhispanic,M,Centereach  New York  US,173 Haag Trailer,Rye,New York,Westchester County,36119,10573,40.90044755602265,-73.63781800504125,74410.15,152333.21,198705
0e07ac3b-bad3-e8bd-29f8-e9a75ff14110,2001-06-11,,999-52-5112,S99932231,X82396504X,Ms.,Denisse335,,Cole117,,,,black,hispanic,F,Massapequa Park  New York  US,918 Willms Bypass,New York,New York,Bronx County,36005,10458,40.623749889544975,-73.84771177862584,10193.71,1369390.01,4790
